"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";"Characteristics:Марка автомобиля";Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr"
537912202132;;A.001.000037,103-002-002-00;;"Багажники>>>Багажники STORM;Автомобили>>>Tank 300;Багажники";"Багажник экспедиционный STORM для Tank 300 (короткая версия)";;"Легкий и прочный полноразмерный экспедиционный автомобильный багажник из алюминия <strong>STORM </strong>для <strong>Tank 300 (короткая версия)</strong> входит в систему Arcane Warrior для перевозки вещей и установки дополнительного оборудования для кемпинга и автопутешествий.<br /><ul><li data-list=""bullet"">Минимальное завышение от штатной высоты автомобиля</li><li data-list=""bullet"">Удобная сборная конструкция, в комплекте шаблон для сборки</li><li data-list=""bullet"">Специальные пазы для крепежных болтов в поперечинах для закрепления дополнительного оборудования</li><li data-list=""bullet"">Эстетичные и надежные крепления для заводских релингов</li></ul><br /><strong>Для установки автомобиль должен быть оборудован продольными релингами</strong><br /><br /><strong>Характеристики</strong><br /><strong>Размер багажника:</strong> 1539*1225*66мм<br /><strong>Размеры погрузочной площадки: </strong>1043*1060мм<br /><strong>Размер упаковки:</strong> 1595*360*495мм<br /><strong>Завышение от штатной высоты</strong>: 40мм<br /><strong>Расстояние от дна платформы до крыши автомобиля:</strong> 48мм<br /><strong>Вес: </strong>23.5кг<br /><strong>Динамическая грузоподьемность: </strong>150кг<br /><strong>Статическая грузоподьемность: </strong>320кг<br /><strong>Макимальный размер светодиодной балки:</strong> 950мм<br /><strong>Совместим с кронштейном для диодной балки PRO version:</strong> √";https://static.tildacdn.com/stor3938-6336-4933-b065-383161323738/65064910.jpg;86944.00;;;;;AsAVhTejOyT54BjbhVe3;;Tank;0;0;0;0;;;;;
602465611012;;A.001.000005,103-002-001-00;;"Багажники>>>Багажники STORM;Автомобили>>>Tank 300;Багажники";"Багажник экспедиционный STORM для Tank 300 (длинная версия)";;"Легкий и прочный полноразмерный экспедиционный автомобильный багажник из алюминия <strong>STORM </strong>для <strong>Tank 300 (длинная версия)</strong> входит в систему Arcane Warrior для перевозки вещей и установки дополнительного оборудования для кемпинга и автопутешествий.<br /><ul><li data-list=""bullet"">Минимальное завышение от штатной высоты автомобиля</li><li data-list=""bullet"">Удобная сборная конструкция, в комплекте шаблон для сборки</li><li data-list=""bullet"">Специальные пазы для крепежных болтов в поперечинах для закрепления дополнительного оборудования</li><li data-list=""bullet"">Эстетичные и надежные крепления для заводских релингов</li></ul><br /><strong>Для установки автомобиль должен быть оборудован продольными релингами.</strong><br /><br /><strong>Характеристики</strong><br /><strong>Размер багажника:</strong> 1889*1225*66мм<br /><strong>Размеры погрузочной площадки: </strong>1043*1060мм<br /><strong>Размер упаковки: </strong>1595*360*495мм<br /><strong>Завышение от штатной высоты:</strong> 40мм<br /><strong>Расстояние от дна платформы до крыши автомобиля:</strong> 48мм<br /><strong>Вес: </strong>23.5кг<br /><strong>Динамическая грузоподьемность: </strong>150кг<br /><strong>Статическая грузоподьемность: </strong>320кг<br /><strong>Макcимальный размер диодной балки: </strong>950мм<br /><strong>Совместим с кронштейном для диодной балки PRO version:</strong> √";https://static.tildacdn.com/stor6339-3036-4639-b136-383764313132/40133308.jpg;96663.00;;;;;mz4itt7bbITjONn9Y9t1;;Tank;0;0;0;0;;;;;
990619521282;"Arcane Warrior";A.012.000020,103-000-009-00;;"Маркизы и тенты";"Кронштейны крепления маркизы Canopy Mounting Bracket PRO Version (1 пара)";;"Легкие алюминиевые кронштейны <strong>Canopy Mounting Bracket PRO Version</strong> предназначены для крепления маркизы <strong>HARDCORE</strong> к экспедиционным багажникам серии <strong> STORM</strong><br />Легкая, прочная алюминиевая конструкция<br />Быстрая и надежная установка<br />Отсутствие вибраций маркизы при движении<br />Возможность регулировки глубины и высоты";https://static.tildacdn.com/stor3232-3132-4061-b563-323361343563/92551328.jpg;10355.00;;;;;eHTCRu1hLeYP767RKm2k;;;630;314;372;141;;;;;
907049188602;"Arcane Warrior";B.031.000003,105-001-019-00;;"Палатки;Допы>>>Допы к багажникам;Автомобили>>>Tank 300;Автомобили>>>LC300;Автомобили>>>LC250";"Автомобильная палатка на крышу Arcane Warrior LANDING Hardshell";;"Автомобильная палатка в стильном пластиковом корпусе<strong> LANDING Hardshell.</strong> Рассчитана на размещение 2-3х человек (два взрослых, один ребенок). <br />Палатка ArcaneWarrior с пластиковым жестким корпусом - одна из самых ярких палаток на рынке.<br /><br /><strong>Характеристики</strong><br />Закрытый размер: 1606*1367*347 мм<br />Развернутый размер: 1606 * 2000 мм<br />Вместимость: 2взрослых+2 ребенка <br />Материал оболочки: высокопрочный композитный материал PC + ABS<br />Ткань палатки: 280г поли-хлопок<br />Вес продукта: 80кг";https://static.tildacdn.com/stor3237-6363-4639-b930-616665626232/55166007.jpg;199650.00;;;;;R63BL98f9Ny5uozKmdfe;;;0;0;0;0;;;"автопалатка, палатка на крышу, автомобильная палатка, палатка на багажник";;
269785361262;"Arcane Warrior";;;"Палатки;Допы>>>Допы к багажникам";"Супертонкая автопалатка в алюминиевом корпусе Arcane Warrior LANDING Ultra Slim";;"<strong>LANDING Ultra Slim </strong>одна из самых тонких автомобильных палаток в алюминиевом корпусе со встроенной зарядкой и подсветкой, рассчитанная на ночевку 1-2 человек.<br /><br /><br /><br /><br />";https://static.tildacdn.com/stor3464-3333-4161-b961-633839623536/22034365.jpg;;;;;;DKuXJfpYXtdNYU6LoXMx;;;76000;2100;1270;140;;;;;
359364404763;;B.032.000001,105-001-002-00;;;"Супертонкая автопалатка в алюминиевом корпусе Arcane Warrior LANDING Ultra Slim - LANDING";;;;261360.00;;;Версия:LANDING;;DVXhNiTxcYVFDJ62VVJ9;269785361262;;0;0;0;0;;;;;
448543495223;;B.032.000002,702-001-015-00;;;"Супертонкая автопалатка в алюминиевом корпусе Arcane Warrior LANDING Ultra Slim - CROSSING";;;;261360.00;;;Версия:CROSSING;;eETMTA7JtHmZjOeRp95i;269785361262;;0;0;0;0;;;;;
594197495122;"Arcane Warrior";A.024.000002,105-005-002-00;;"Мебель;Допы>>>Допы к палаткам";"Складной стул с чехлом Arcane Warrior LANDING Folding Chair (с чехлом)";;"<br /><strong>Комфортный стул-кресло Arcane Warrior LANDING </strong><br />Максимальный комфорт и прочность при минимальных размерах<br />Удобный чехол в комплекте<br /><br /><br />";https://static.tildacdn.com/stor6261-6137-4162-a664-323738383539/2e12ba0b98879d6a3b760e22fc55cd5d.png;18525.00;;;;;HRduIoA4iBRydFlv1664;;;3600;486;155;484;;;;;
206471437832;"Arcane Warrior";A.023.000001,105-005-001-00;;"Мебель;Допы>>>Допы к палаткам;Допы>>>Допы к багажникам";"Складной кемпинговый стол с магнитными защелками Arcane Warrior LANDING Magnetic Camping Table";;"Легкий, компактный и прочный стол <strong>Arcane Warrior LANDING magnetic camping table</strong> с уникальной системой магнитных защелок и модульной конструкцией. <br />Может быть адаптирован к системе расширения IGT";https://static.tildacdn.com/stor6133-3737-4639-b964-633461623064/71960656.jpg;32965.00;;;;;zTMV9P4ImjEs0biyYBCI;;;8300;793;245;262;;;;;
404179596762;"Arcane Warrior";A.013.000002,105-002-002-00;;"Маркизы и тенты;Допы>>>Допы к палаткам;Допы>>>Допы к багажникам;Маркизы и тенты>>>Маркизы обычные";"Маркиза автомобильная Arcane Warrior HARDCORE Car Canopy (версия Silver)";;"Маркиза автомобильная <strong>HARDCORE Car Canopy </strong>(боковой навес) в алюминиевом корпусе<strong>. </strong>Стандартная версия silver (Внутренняя сторона серебристого цвета, усиленная защита от солнца).<br /><br />Откройте для себя новую ступень комфорта на открытом воздухе с боковым навесом <strong>HARDCORE</strong>, где передовые инновации сочетаются с надежностью и прочностью.<br /><br />Создан для тех, кто ищет приключений, не жертвуя качеством, этот навес — не просто аксессуар, а настоящий прорыв.<br /><ul><li data-list=""bullet"">Стильный, прочный и эргономичный алюминиевый корпус</li><li data-list=""bullet"">Полуавтоматическая система складывания и установки</li><li data-list=""bullet"">В базовой комплектации поставляется со светодиодной подсветкой.</li></ul>";https://static.tildacdn.com/stor3166-3666-4632-b331-653162373663/33857130.jpg;60990.00;;;;;gfZrYkcLCIFZZb88i79p;;;15000;2191;208;172;;;;;
